name,adp_standard,stdev_standard,bye,adp_half,stdev_half,adp_ppr,stdev_ppr,adp_2qb,stdev_2qb
Jahmyr Gibbs,1.6,0.8,6,1.5,0.7,1.8,0.8,2.1,0.8
Bijan Robinson,2.3,0.7,11,2.1,0.7,1.7,0.8,2.6,0.7
Puka Nacua,2.7,0.8,11,2.8,0.6,3.0,0.7,5.6,2.3
Jonathan Taylor,4.2,0.8,13,5.8,1.3,7.4,1.7,6.5,1.6
Ja'Marr Chase,5.0,1.5,6,4.1,1.0,3.9,1.0,9.3,4.3
Jaxon Smith-Njigba,5.7,1.2,11,5.3,1.3,5.6,1.2,12.8,5.0
Christian McCaffrey,6.6,2.0,8,6.7,1.6,6.0,1.5,11.8,3.1
Derrick Henry,6.7,2.6,13,10.0,1.8,15.9,2.9,12.8,3.4
Amon-Ra St. Brown,8.6,1.6,6,7.6,1.7,6.9,1.4,17.9,4.7
James Cook III,9.5,2.2,7,11.7,2.9,14.5,3.2,18.8,4.4
Drake London,11.2,2.6,11,9.6,1.7,10.1,1.6,24.8,4.5
De'Von Achane,12.7,2.4,6,11.1,1.9,10.2,1.8,24.2,4.2
CeeDee Lamb,14.2,2.7,14,12.6,2.4,11.2,2.1,27.5,5.4
Saquon Barkley,14.6,2.7,10,18.2,3.3,19.4,3.4,26.8,4.6
Rashee Rice,14.9,3.5,5,12.8,1.8,12.4,2.4,37.8,12.9
Ashton Jeanty,16.3,3.4,13,14.8,3.0,14.1,3.1,29.6,5.8
Josh Jacobs,16.3,4.9,11,23.0,3.2,25.6,4.0,32.0,4.8
George Pickens,17.1,4.1,14,19.5,2.4,20.8,2.6,33.3,5.7
Josh Allen,17.9,9.7,7,24.8,7.4,27.4,6.9,1.4,0.7
Justin Jefferson,18.8,3.3,6,15.2,2.6,14.4,3.1,31.3,6.4
Chase Brown,18.9,3.7,6,16.0,2.6,12.5,2.6,36.2,6.5
A.J. Brown,19.1,2.8,11,19.0,2.7,17.7,2.7,34.3,4.9
Omarion Hampton,21.8,4.4,7,21.9,4.0,19.7,3.6,37.2,6.4
Nico Collins,22.3,2.4,8,23.3,2.9,23.6,2.7,38.5,4.0
Zay Flowers,24.5,3.2,13,25.2,2.6,26.1,3.1,42.4,4.0
Kyren Williams,25.4,4.3,11,31.1,4.4,33.1,3.9,43.4,4.3
Chris Olave,26.3,2.7,8,23.3,2.4,20.7,2.6,42.1,6.6
Breece Hall,26.8,4.1,13,27.2,3.4,27.3,3.4,46.4,4.3
Kenneth Walker,28.1,5.3,5,26.4,4.1,25.9,3.8,43.6,6.7
Javonte Williams,30.5,3.4,14,36.0,4.1,36.2,4.6,49.0,4.5
Emeka Egbuka,30.7,3.6,10,32.5,3.6,34.8,4.2,51.0,7.3
Jeremiyah Love,31.1,5.0,14,29.3,4.2,26.9,3.8,47.8,5.7
Malik Nabers,31.5,5.2,8,30.3,4.3,31.1,4.2,56.6,12.2
Tee Higgins,33.9,4.2,6,38.0,4.2,38.1,4.5,50.2,6.1
Davante Adams,34.7,4.4,11,39.3,3.8,41.2,4.1,53.2,6.0
Cam Skattebo,34.8,4.0,8,34.3,4.1,31.5,4.0,52.8,5.5
Tetairoa McMillan,37.0,4.0,5,36.2,3.5,34.1,3.9,53.6,6.1
DeVonta Smith,38.8,4.2,10,31.3,3.5,29.2,3.5,56.2,5.8
Jameson Williams,39.6,4.1,6,41.3,3.6,45.4,4.3,57.7,6.0
Rome Odunze,40.2,4.2,10,44.8,3.9,49.3,5.7,61.4,6.3
Travis Etienne Jr.,40.8,4.3,8,41.2,5.3,39.3,4.8,59.9,5.8
Garrett Wilson,41.3,4.2,13,30.9,3.4,28.7,3.2,59.2,5.4
D'Andre Swift,42.6,4.2,10,42.9,5.4,44.5,4.5,61.2,6.0
Terry McLaurin,44.4,3.5,7,42.9,3.9,43.6,4.5,63.2,6.3
Alec Pierce,44.8,4.8,13,50.3,5.8,56.2,6.7,70.4,8.0
Drake Maye,45.6,10.3,11,46.2,7.7,50.0,6.8,5.8,2.1
Bucky Irving,45.9,5.5,10,45.7,5.3,43.6,4.9,65.1,6.8
Ladd McConkey,47.7,6.7,7,44.9,5.2,43.7,5.2,68.1,7.3
Quinshon Judkins,47.9,6.4,11,49.0,6.3,50.2,5.3,64.7,6.5
DJ Moore,49.0,7.0,7,48.7,5.5,52.7,6.2,74.7,12.1
Lamar Jackson,49.3,9.6,13,50.9,9.6,53.2,7.5,6.2,2.2
Bhayshul Tuten,50.8,5.5,7,52.0,5.3,53.0,5.6,68.3,8.2
Courtland Sutton,51.8,6.1,10,55.7,7.8,59.9,6.0,81.3,9.8
Jaylen Waddle,53.4,6.5,10,51.0,7.0,48.1,5.9,73.2,7.3
Brock Bowers,53.8,12.8,13,44.8,11.0,40.7,8.0,62.9,15.3
Joe Burrow,54.0,10.2,6,57.6,7.2,56.9,8.0,7.3,2.5
TreVeyon Henderson,55.5,7.5,11,57.3,6.1,56.3,6.1,74.3,6.9
Trey McBride,56.1,14.0,14,44.0,8.9,34.6,6.5,67.1,13.4
Luther Burden III,56.2,6.9,10,55.6,6.7,54.5,7.3,75.7,7.6
Mike Evans,57.0,7.5,8,56.8,6.4,58.3,7.1,78.4,8.5
Christian Watson,58.1,7.8,11,62.9,6.8,69.9,9.1,79.3,7.2
Jadarian Price,59.7,12.5,11,66.7,13.3,68.2,13.1,76.7,10.5
David Montgomery,60.0,7.0,8,62.9,7.7,65.8,8.7,75.2,7.7
Dak Prescott,62.2,6.5,14,67.3,6.6,65.5,8.8,11.2,3.1
DK Metcalf,62.4,7.4,9,62.3,7.5,65.5,7.2,81.8,7.8
Marvin Harrison Jr.,62.8,6.7,14,62.3,7.1,63.8,7.0,85.4,6.4
Tony Pollard,65.6,6.0,9,66.8,6.1,66.3,7.7,83.5,6.6
Parker Washington,65.7,6.7,7,68.0,6.3,71.0,8.2,89.8,7.4
Brian Thomas Jr.,67.5,6.7,7,69.5,7.1,79.1,8.8,90.0,6.3
Rico Dowdle,68.0,5.2,9,67.2,7.3,66.7,9.5,90.4,10.1
Jayden Daniels,68.5,8.6,7,71.7,10.1,68.0,10.5,12.4,2.8
Rhamondre Stevenson,69.1,10.6,11,72.0,6.0,71.9,7.2,93.3,8.5
Jalen Hurts,69.4,10.9,10,74.9,9.4,74.9,9.1,15.7,3.4
Carnell Tate,72.6,7.7,9,75.1,6.9,76.8,8.1,91.3,7.9
Quentin Johnston,73.1,6.5,7,81.6,7.3,95.0,8.7,96.8,10.0
Colston Loveland,73.2,8.7,10,66.1,8.5,60.0,9.6,82.1,11.1
Brock Purdy,76.2,12.8,8,75.5,13.2,77.9,12.3,16.8,4.1
Jaylen Warren,76.2,10.1,9,76.7,7.4,68.5,7.2,98.9,9.4
Matthew Stafford,76.8,12.0,11,77.2,9.8,83.7,11.4,17.7,3.4
J.K. Dobbins,77.1,9.2,10,86.4,8.5,92.9,10.9,95.2,8.9
Jordan Addison,80.5,5.8,6,91.2,9.6,102.9,8.9,99.1,8.3
Chuba Hubbard,81.1,7.5,5,76.8,7.4,75.8,7.3,97.8,9.1
Tyler Warren,81.2,8.3,13,71.4,12.0,65.1,10.1,89.7,8.8
Jakobi Meyers,81.8,7.2,7,79.2,7.1,77.2,9.2,101.6,11.9
Jordyn Tyson,83.9,7.8,8,85.3,10.0,89.0,8.2,99.6,8.0
Michael Wilson,84.3,8.8,14,84.9,10.0,86.9,9.4,106.5,9.9
Chris Godwin Jr.,87.0,9.9,10,90.1,12.3,91.1,9.6,107.3,9.0
Jayden Reed,87.2,6.3,11,90.5,8.8,96.8,9.3,103.1,7.8
Xavier Worthy,87.2,6.6,5,101.1,9.3,106.5,8.8,106.3,6.9
Trevor Lawrence,88.8,14.5,7,88.7,11.3,89.7,12.4,16.6,4.8
Tucker Kraft,89.0,9.8,11,102.1,17.8,106.7,21.1,102.6,13.2
Deebo Samuel Sr.,89.0,11.2,8,90.3,11.4,99.9,12.1,107.7,15.7
Makai Lemon,93.1,9.8,10,102.0,9.0,108.9,9.3,112.9,10.5
Jacory Croskey-Merritt,94.3,12.3,7,109.5,14.1,111.5,15.5,112.5,13.2
Michael Pittman Jr.,94.5,7.8,9,80.5,7.2,72.6,7.1,109.8,9.7
RJ Harvey,95.9,13.4,10,88.4,10.6,82.9,8.8,116.7,16.6
Patrick Mahomes,96.1,14.1,5,99.2,11.7,98.2,12.7,19.3,5.3
Kyle Monangai,96.3,16.1,10,102.6,13.9,102.8,12.9,110.9,11.6
Stefon Diggs,98.0,14.8,7,93.3,11.9,91.1,12.8,119.3,13.4
