team,direction,attempts,epa,success,ypc,epa_pct
LA,left,129,0.183,0.527,5.504,100.0
CIN,left,133,0.135,0.496,5.481,97.0
NYG,left,186,0.088,0.414,4.516,94.0
NE,left,171,0.087,0.421,4.994,91.0
PIT,left,155,0.073,0.465,4.729,88.0
CAR,left,166,0.07,0.476,4.349,84.0
DEN,left,171,0.063,0.433,4.877,81.0
CHI,left,156,0.054,0.436,4.923,78.0
IND,left,108,0.044,0.435,5.343,75.0
BAL,left,208,0.041,0.404,5.356,72.0
LAC,left,169,0.04,0.408,5.065,69.0
BUF,left,176,0.036,0.46,5.159,66.0
PHI,left,164,0.034,0.421,5.232,62.0
KC,left,161,0.029,0.478,4.64,59.0
MIN,left,130,0.027,0.485,4.338,56.0
ATL,left,212,0.02,0.448,4.741,53.0
NO,left,148,-0.003,0.419,4.291,50.0
DAL,left,162,-0.015,0.414,5.512,47.0
ARI,left,118,-0.031,0.424,3.932,44.0
JAX,left,166,-0.035,0.41,4.488,41.0
MIA,left,159,-0.04,0.39,4.868,36.0
SF,left,165,-0.04,0.394,3.952,36.0
TB,left,205,-0.046,0.41,4.239,31.0
NYJ,left,191,-0.058,0.393,4.482,28.0
GB,left,154,-0.06,0.435,4.383,23.0
SEA,left,193,-0.06,0.363,3.855,23.0
WAS,left,179,-0.063,0.419,4.084,19.0
TEN,left,122,-0.088,0.377,3.877,16.0
DET,left,139,-0.101,0.374,4.144,12.0
CLE,left,133,-0.12,0.331,3.805,9.0
HOU,left,146,-0.149,0.349,3.87,6.0
LV,left,128,-0.214,0.344,4.195,3.0
BUF,middle,140,0.217,0.55,5.386,100.0
SF,middle,124,0.133,0.484,4.097,97.0
IND,middle,176,0.118,0.477,4.239,94.0
CIN,middle,95,0.104,0.495,3.989,91.0
TB,middle,109,0.096,0.459,4.138,88.0
MIN,middle,113,0.088,0.487,4.743,84.0
WAS,middle,121,0.071,0.455,4.372,81.0
CHI,middle,80,0.064,0.538,4.025,78.0
DEN,middle,92,0.053,0.533,3.913,75.0
BAL,middle,84,0.049,0.452,3.988,72.0
NYG,middle,134,0.046,0.485,4.604,69.0
DET,middle,102,0.024,0.471,4.824,66.0
DAL,middle,141,0.023,0.504,4.284,62.0
GB,middle,126,0.019,0.468,3.571,59.0
JAX,middle,176,0.017,0.466,4.176,56.0
NYJ,middle,102,0.012,0.5,4.902,53.0
LA,middle,149,0.006,0.503,4.275,50.0
KC,middle,96,-0.006,0.417,3.74,47.0
CLE,middle,115,-0.028,0.374,3.4,42.0
LAC,middle,149,-0.028,0.423,3.463,42.0
TEN,middle,114,-0.042,0.465,3.904,38.0
HOU,middle,133,-0.047,0.391,3.714,33.0
PIT,middle,84,-0.047,0.44,3.131,33.0
ATL,middle,62,-0.056,0.484,4.403,28.0
ARI,middle,108,-0.059,0.444,4.444,25.0
SEA,middle,137,-0.061,0.416,3.796,22.0
PHI,middle,111,-0.088,0.396,2.324,19.0
MIA,middle,93,-0.094,0.398,4.183,16.0
NE,middle,134,-0.11,0.396,4.254,12.0
NO,middle,122,-0.124,0.393,3.361,9.0
CAR,middle,148,-0.141,0.378,3.824,6.0
LV,middle,105,-0.432,0.257,2.981,3.0
BAL,right,195,0.218,0.477,6.282,100.0
CHI,right,250,0.156,0.516,5.516,97.0
BUF,right,202,0.153,0.495,5.342,94.0
IND,right,141,0.152,0.482,4.894,91.0
WAS,right,169,0.14,0.491,6.166,88.0
LAC,right,133,0.117,0.459,5.361,84.0
CAR,right,125,0.11,0.464,5.68,81.0
MIA,right,165,0.071,0.424,5.37,78.0
GB,right,190,0.07,0.479,4.889,75.0
DAL,right,142,0.068,0.451,4.585,72.0
TB,right,146,0.06,0.432,4.37,69.0
NE,right,156,0.053,0.442,5.135,66.0
SEA,right,155,0.051,0.471,5.484,62.0
PHI,right,185,0.047,0.449,4.816,59.0
KC,right,160,0.045,0.431,4.494,56.0
DET,right,186,0.034,0.414,5.29,53.0
CLE,right,168,0.016,0.399,4.5,50.0
PIT,right,155,0.015,0.426,4.955,47.0
JAX,right,126,0.009,0.373,3.913,44.0
NYG,right,181,-0.022,0.42,4.116,41.0
LA,right,158,-0.024,0.481,5.291,38.0
HOU,right,180,-0.03,0.394,4.45,34.0
TEN,right,135,-0.036,0.37,5.044,31.0
ARI,right,135,-0.039,0.363,4.756,28.0
DEN,right,173,-0.046,0.416,4.902,25.0
MIN,right,148,-0.054,0.399,5.108,22.0
SF,right,172,-0.061,0.413,3.959,19.0
ATL,right,188,-0.062,0.383,4.665,16.0
NYJ,right,152,-0.095,0.434,4.783,12.0
LV,right,128,-0.118,0.383,3.695,9.0
CIN,right,143,-0.124,0.392,3.503,6.0
NO,right,155,-0.135,0.374,3.697,3.0
