team,pos,weeks,opponents,sos_pctl,sos_label
ARI,QB,"15,16,17","NYJ,NO,LV",59.4,Neutral
ATL,QB,"15,16,17","WAS,TB,NO",71.9,Easy
BAL,QB,"15,16,17","PIT,CLE,CIN",57.3,Neutral
BUF,QB,"15,16,17","CHI,DEN,MIA",61.5,Neutral
CAR,QB,"15,16,17","CIN,PIT,SEA",59.4,Neutral
CHI,QB,"15,16,17","BUF,GB,DET",40.6,Neutral
CIN,QB,"15,16,17","CAR,IND,BAL",46.9,Neutral
CLE,QB,"15,16,17","NYG,BAL,IND",63.5,Neutral
DAL,QB,"15,16,17","LA,JAX,NYG",54.2,Neutral
DEN,QB,"15,16,17","LV,BUF,NE",35.4,Neutral
DET,QB,"15,16,17","MIN,NYG,CHI",51.0,Neutral
GB,QB,"15,16,17","MIA,CHI,HOU",56.2,Neutral
HOU,QB,"15,16,17","JAX,PHI,GB",38.5,Neutral
IND,QB,"15,16,17","TEN,CIN,CLE",58.3,Neutral
JAX,QB,"15,16,17","HOU,DAL,WAS",66.7,Easy
KC,QB,"15,16,17","NE,SF,LAC",33.3,Tough
LA,QB,"15,16,17","DAL,SEA,TB",71.9,Easy
LAC,QB,"15,16,17","SF,MIA,KC",60.4,Neutral
LV,QB,"15,16,17","DEN,TEN,ARI",58.3,Neutral
MIA,QB,"15,16,17","GB,LAC,BUF",19.8,Tough
MIN,QB,"15,16,17","DET,WAS,NYJ",84.4,Easy
NE,QB,"15,16,17","KC,NYJ,DEN",53.1,Neutral
NO,QB,"15,16,17","TB,ARI,ATL",69.8,Easy
NYG,QB,"15,16,17","CLE,DET,DAL",60.4,Neutral
NYJ,QB,"15,16,17","ARI,NE,MIN",33.3,Tough
PHI,QB,"15,16,17","SEA,HOU,SF",29.2,Tough
PIT,QB,"15,16,17","BAL,CAR,TEN",58.3,Neutral
SEA,QB,"15,16,17","PHI,LA,CAR",32.3,Tough
SF,QB,"15,16,17","LAC,KC,PHI",26.0,Tough
TB,QB,"15,16,17","NO,ATL,LA",40.6,Neutral
TEN,QB,"15,16,17","IND,LV,PIT",64.6,Neutral
WAS,QB,"15,16,17","ATL,MIN,JAX",33.3,Tough
ARI,RB,"15,16,17","NYJ,NO,LV",68.8,Easy
ATL,RB,"15,16,17","WAS,TB,NO",62.5,Neutral
BAL,RB,"15,16,17","PIT,CLE,CIN",57.3,Neutral
BUF,RB,"15,16,17","CHI,DEN,MIA",44.8,Neutral
CAR,RB,"15,16,17","CIN,PIT,SEA",41.7,Neutral
CHI,RB,"15,16,17","BUF,GB,DET",50.0,Neutral
CIN,RB,"15,16,17","CAR,IND,BAL",58.3,Neutral
CLE,RB,"15,16,17","NYG,BAL,IND",63.5,Neutral
DAL,RB,"15,16,17","LA,JAX,NYG",43.8,Neutral
DEN,RB,"15,16,17","LV,BUF,NE",52.1,Neutral
DET,RB,"15,16,17","MIN,NYG,CHI",58.3,Neutral
GB,RB,"15,16,17","MIA,CHI,HOU",52.1,Neutral
HOU,RB,"15,16,17","JAX,PHI,GB",41.7,Neutral
IND,RB,"15,16,17","TEN,CIN,CLE",68.8,Easy
JAX,RB,"15,16,17","HOU,DAL,WAS",65.6,Easy
KC,RB,"15,16,17","NE,SF,LAC",32.3,Tough
LA,RB,"15,16,17","DAL,SEA,TB",50.0,Neutral
LAC,RB,"15,16,17","SF,MIA,KC",56.2,Neutral
LV,RB,"15,16,17","DEN,TEN,ARI",51.0,Neutral
MIA,RB,"15,16,17","GB,LAC,BUF",45.8,Neutral
MIN,RB,"15,16,17","DET,WAS,NYJ",71.9,Easy
NE,RB,"15,16,17","KC,NYJ,DEN",40.6,Neutral
NO,RB,"15,16,17","TB,ARI,ATL",66.7,Easy
NYG,RB,"15,16,17","CLE,DET,DAL",55.2,Neutral
NYJ,RB,"15,16,17","ARI,NE,MIN",46.9,Neutral
PHI,RB,"15,16,17","SEA,HOU,SF",33.3,Tough
PIT,RB,"15,16,17","BAL,CAR,TEN",64.6,Neutral
SEA,RB,"15,16,17","PHI,LA,CAR",59.4,Neutral
SF,RB,"15,16,17","LAC,KC,PHI",35.4,Neutral
TB,RB,"15,16,17","NO,ATL,LA",39.6,Neutral
TEN,RB,"15,16,17","IND,LV,PIT",41.7,Neutral
WAS,RB,"15,16,17","ATL,MIN,JAX",30.2,Tough
ARI,WR,"15,16,17","NYJ,NO,LV",53.1,Neutral
