player_id,player,pos,team,pick,tier,college,comp_n,comp_median,comp_p75,comp_p90,useful_rate,bust_rate,opening_pct,median_games,p_rec,p_rec_yds,p_rec_tds,p_rush_yds,p_rush_tds,p_pass_yds,p_pass_tds,p_ints,proj,upside
00-0041027,Jeremiyah Love,RB,ARI,3,Top 10,Notre Dame,8,221.4,249.8,319.5,100,0,50.5,15.5,60.2,441.6,2.8,1300.6,12.5,0.0,0.0,0.0,296.1,292.4
00-0041562,Fernando Mendoza,QB,LV,1,Top 10,Indiana,31,186.9,250.3,286.5,48,6,21.3,14.0,0.0,0.0,0.0,202.6,2.2,2704.7,13.0,10.0,173.6,232.2
00-0041512,Jadarian Price,RB,SEA,32,Rest of Rd 1,Notre Dame,11,137.6,200.8,263.7,55,9,44.2,13.0,34.3,199.4,0.9,898.0,6.0,0.0,0.0,0.0,168.3,224.6
00-0041029,Jordyn Tyson,WR,NO,8,Top 10,Arizona St.,19,153.6,178.6,212.3,63,16,30.5,16.0,64.3,865.7,4.9,0.0,0.0,0.0,0.0,0.0,148.1,179.3
00-0041438,Carnell Tate,WR,TEN,4,Top 10,Ohio St.,19,153.6,178.6,212.3,63,16,29.1,16.0,63.5,855.7,4.9,0.0,0.0,0.0,0.0,0.0,146.7,177.2
00-0040867,Makai Lemon,WR,PHI,20,Rest of Rd 1,USC,42,105.8,156.9,185.3,31,12,56.0,14.0,55.8,710.7,4.4,10.2,0.0,0.0,0.0,0.0,126.4,190.9
00-0041511,Omar Cooper Jr.,WR,NYJ,30,Rest of Rd 1,Indiana,42,105.8,156.9,185.3,31,12,37.6,14.0,48.8,621.1,3.8,8.9,0.0,0.0,0.0,0.0,110.2,166.8
00-0041568,Ty Simpson,QB,LA,13,Rest of Rd 1,Alabama,14,156.7,173.6,238.6,21,21,0.0,12.5,0.0,0.0,0.0,160.8,1.7,1643.4,8.0,6.9,110.2,130.2
00-0041035,De'Zhaun Stribling,WR,SF,33,Round 2,Mississippi,68,80.2,115.6,164.8,22,15,63.2,14.0,44.2,601.9,3.6,0.0,0.0,0.0,0.0,0.0,103.9,144.6
00-0041489,Germie Bernard,WR,PIT,47,Round 2,Alabama,68,80.2,115.6,164.8,22,15,45.9,14.0,40.1,545.3,3.3,0.0,0.0,0.0,0.0,0.0,94.4,131.0
00-0041547,KC Concepcion,WR,CLE,24,Rest of Rd 1,Texas A&M,42,105.8,156.9,185.3,31,12,16.8,14.0,40.8,519.9,3.2,7.5,0.0,0.0,0.0,0.0,92.3,139.6
00-0041032,Kenyon Sadiq,TE,NYJ,16,Rest of Rd 1,Oregon,9,93.0,141.6,161.7,67,11,8.5,16.0,34.1,461.3,3.1,0.0,0.0,0.0,0.0,0.0,81.8,116.2
00-0041037,Denzel Boston,WR,CLE,39,Round 2,Washington,68,80.2,115.6,164.8,22,15,16.8,14.0,31.5,428.6,2.6,0.0,0.0,0.0,0.0,0.0,74.2,102.9
00-0041503,Nate Boerkircher,TE,JAX,56,Round 2,Texas A&M,29,47.0,64.9,97.2,14,28,34.3,13.0,28.0,282.8,1.9,0.0,0.0,0.0,0.0,0.0,53.7,67.2
00-0041052,Kaelon Black,RB,SF,90,Round 3,Indiana,44,66.4,122.0,174.0,18,23,19.5,12.5,10.5,68.3,0.0,317.2,1.5,0.0,0.0,0.0,52.8,111.3
00-0041523,Caleb Douglas,WR,MIA,75,Round 3,Texas Tech,74,42.8,80.5,125.1,8,35,73.5,12.5,23.4,316.6,1.4,3.8,0.0,0.0,0.0,0.0,52.1,100.6
00-0041525,Chris Bell,WR,MIA,94,Round 3,Louisville,74,42.8,80.5,125.1,8,35,73.5,12.5,23.4,316.6,1.4,3.8,0.0,0.0,0.0,0.0,52.1,100.6
00-0041044,Zachariah Branch,WR,ATL,79,Round 3,Georgia,74,42.8,80.5,125.1,8,35,54.8,12.5,22.6,305.7,1.3,3.6,0.0,0.0,0.0,0.0,50.0,97.1
00-0041042,Malachi Fields,WR,NYG,74,Round 3,Notre Dame,74,42.8,80.5,125.1,8,35,52.2,12.5,22.2,300.2,1.3,3.6,0.0,0.0,0.0,0.0,49.3,95.4
00-0041040,Antonio Williams,WR,WAS,71,Round 3,Clemson,74,42.8,80.5,125.1,8,35,52.4,12.5,22.2,300.6,1.3,3.6,0.0,0.0,0.0,0.0,49.3,95.5
00-0041051,Zavion Thomas,WR,CHI,89,Round 3,LSU,74,42.8,80.5,125.1,8,35,49.2,12.5,21.8,293.8,1.3,3.5,0.0,0.0,0.0,0.0,48.4,93.4
00-0041013,Emmett Johnson,RB,KC,161,Rd 4-5,Nebraska,98,37.9,88.4,133.6,13,44,69.5,12.0,12.1,97.3,0.0,234.0,1.2,0.0,0.0,0.0,46.4,110.5
00-0041483,Eli Stowers,TE,PHI,54,Round 2,Vanderbilt,29,47.0,64.9,97.2,14,28,8.7,13.0,22.2,224.5,1.5,0.0,0.0,0.0,0.0,0.0,42.6,53.4
00-0041550,Brenen Thompson,WR,LAC,105,Round 3,Mississippi St.,74,42.8,80.5,125.1,8,35,33.0,12.5,19.2,259.6,1.1,3.1,0.0,0.0,0.0,0.0,42.5,82.5
00-0041048,Ted Hurst,WR,TB,84,Round 3,Georgia St.,74,42.8,80.5,125.1,8,35,32.8,12.5,19.2,259.2,1.1,3.1,0.0,0.0,0.0,0.0,42.4,82.4
00-0041472,Marlin Klein,TE,HOU,59,Round 2,Michigan,29,47.0,64.9,97.2,14,28,6.2,13.0,21.6,218.9,1.5,0.0,0.0,0.0,0.0,0.0,41.7,52.0
00-0041510,Max Klare,TE,LA,61,Round 2,Ohio St.,29,47.0,64.9,97.2,14,28,0.0,13.0,20.3,204.8,1.4,0.0,0.0,0.0,0.0,0.0,39.0,48.7
