team,games,plays,dropbacks,sacks,qb_hits,off_epa,pass_epa,rush_epa,pass_oe,plays_pg,sack_rate,hit_rate,team_targets,team_carries,plays_pg_pct,off_epa_pct,pass_epa_pct,rush_epa_pct,sack_rate_pct,hit_rate_pct
BUF,17,1091,593.0,40.0,70.0,0.119,0.159,0.075,-2.931,64.2,6.7,11.8,479,547,81.0,100.0,84.0,94.0,44.0,81.0
NE,17,1047,613.0,48.0,89.0,0.109,0.287,-0.029,3.159,61.6,7.8,14.5,482,494,47.0,97.0,100.0,48.0,28.0,45.0
DAL,17,1123,683.0,31.0,95.0,0.1,0.163,-0.02,-0.196,66.1,4.5,13.9,607,465,100.0,94.0,88.0,58.0,84.0,50.0
LA,17,1086,624.0,23.0,77.0,0.099,0.222,-0.009,4.004,63.9,3.7,12.3,581,465,73.0,91.0,94.0,69.0,95.0,69.0
GB,17,1012,554.0,29.0,81.0,0.093,0.228,-0.031,-3.925,59.5,5.2,14.6,460,492,25.0,88.0,97.0,44.0,70.0,41.0
SF,17,1087,629.0,27.0,82.0,0.088,0.157,-0.038,0.159,63.9,4.3,13.0,550,481,73.0,84.0,81.0,38.0,91.0,59.0
IND,17,1025,605.0,29.0,82.0,0.086,0.057,0.077,-1.24,60.3,4.8,13.6,530,442,41.0,81.0,66.0,97.0,80.0,55.0
DET,17,1064,624.0,39.0,119.0,0.069,0.166,-0.053,-5.394,62.6,6.2,19.1,550,442,58.0,78.0,91.0,25.0,53.0,12.0
JAX,17,1097,646.0,41.0,83.0,0.055,0.059,-0.015,2.507,64.5,6.3,12.8,547,489,89.0,75.0,69.0,62.0,50.0,62.0
CHI,17,1109,644.0,24.0,67.0,0.053,0.079,0.065,-3.277,65.2,3.7,10.4,532,505,97.0,72.0,72.0,91.0,95.0,92.0
SEA,17,1018,520.0,27.0,60.0,0.047,0.111,-0.073,-6.22,59.9,5.2,11.5,455,507,36.0,69.0,78.0,12.0,70.0,84.0
BAL,17,976,503.0,45.0,83.0,0.045,-0.036,0.083,-9.12,57.4,8.9,16.5,407,507,12.0,66.0,28.0,100.0,12.0,34.0
KC,17,1064,689.0,47.0,122.0,0.039,0.039,0.02,4.499,62.6,6.8,17.7,549,430,58.0,62.0,59.0,84.0,41.0,25.0
PIT,17,990,594.0,31.0,63.0,0.037,0.029,0.009,-1.117,58.2,5.2,10.6,522,407,16.0,59.0,53.0,75.0,70.0,88.0
CIN,17,1062,691.0,36.0,100.0,0.032,-0.027,0.018,3.509,62.5,5.2,14.5,608,381,53.0,56.0,33.0,81.0,70.0,45.0
DEN,17,1098,676.0,23.0,70.0,0.029,0.084,-0.02,1.312,64.6,3.4,10.4,584,456,94.0,53.0,75.0,58.0,100.0,92.0
NYG,17,1089,627.0,48.0,112.0,0.026,-0.009,0.029,-4.721,64.1,7.7,17.9,503,511,78.0,50.0,45.0,88.0,31.0,22.0
WAS,17,997,567.0,37.0,77.0,0.024,-0.01,0.01,-1.977,58.6,6.5,13.6,432,484,19.0,47.0,41.0,78.0,47.0,55.0
PHI,17,1013,575.0,35.0,57.0,0.012,0.043,-0.022,-1.148,59.6,6.1,9.9,464,478,28.0,44.0,62.0,53.0,56.0,97.0
MIA,17,952,533.0,38.0,65.0,0.007,-0.009,-0.029,-4.482,56.0,7.1,12.2,462,432,6.0,41.0,45.0,48.0,38.0,73.0
TB,17,1076,644.0,38.0,56.0,-0.002,-0.027,0.002,-2.984,63.3,5.9,8.7,541,472,62.0,38.0,33.0,72.0,62.0,100.0
HOU,17,1094,648.0,31.0,78.0,-0.003,0.035,-0.094,-1.001,64.4,4.8,12.0,553,475,84.0,34.0,56.0,9.0,80.0,78.0
LAC,17,1096,681.0,60.0,137.0,-0.013,-0.056,-0.014,0.975,64.5,8.8,20.1,544,466,89.0,31.0,22.0,66.0,16.0,9.0
ATL,17,1052,586.0,26.0,73.0,-0.017,-0.012,-0.04,-5.249,61.9,4.4,12.5,519,477,50.0,28.0,38.0,34.0,88.0,66.0
CAR,17,1016,585.0,35.0,86.0,-0.018,-0.05,-0.042,-4.43,59.8,6.0,14.7,480,461,31.0,25.0,25.0,31.0,59.0,38.0
ARI,17,1078,748.0,59.0,129.0,-0.021,0.003,-0.059,4.71,63.4,7.9,17.2,617,366,67.0,22.0,50.0,22.0,25.0,28.0
NYJ,17,1018,613.0,60.0,116.0,-0.054,-0.18,-0.067,-10.323,59.9,9.8,18.9,472,456,36.0,19.0,16.0,16.0,9.0,16.0
MIN,17,958,575.0,60.0,122.0,-0.072,-0.188,-0.032,-1.182,56.4,10.4,21.2,468,410,9.0,16.0,9.0,41.0,6.0,3.0
NO,17,1078,671.0,49.0,82.0,-0.096,-0.08,-0.115,-1.914,63.4,7.3,12.2,565,435,67.0,12.0,19.0,6.0,34.0,73.0
TEN,17,1004,646.0,56.0,110.0,-0.107,-0.219,-0.066,-4.603,59.1,8.7,17.0,530,378,22.0,9.0,6.0,19.0,19.0,31.0
LV,17,951,600.0,64.0,113.0,-0.155,-0.185,-0.262,-1.203,55.9,10.7,18.8,494,369,3.0,6.0,12.0,3.0,3.0,19.0
CLE,17,1034,641.0,51.0,134.0,-0.159,-0.287,-0.052,-3.897,60.8,8.0,20.9,522,421,44.0,3.0,3.0,28.0,22.0,6.0
