Player,POS,Team,Pass Yds,Pass TDs,INT,Rush Yds,Rush TDs,REC,Rec Yds,Rec TDs,Rookie,Bust%,FL,adp_standard,stdev_standard,adp_half,stdev_half,adp_ppr,stdev_ppr,adp_2qb,stdev_2qb,bye,playoff_sos_pctl,playoff_sos_label
Jalen Hurts,QB,PHI,3433.2,24.7,6.2,513.6,10.5,0.0,0.1,0.0,False,,1.5,68.0,10.1,73.9,7.8,73.7,9.0,15.6,3.6,10.0,29.2,Tough
Josh Allen,QB,BUF,3379.8,23.5,8.0,480.1,11.1,0.0,0.1,0.0,False,,1.5,18.1,8.7,22.8,6.7,26.6,6.4,1.4,0.7,7.0,61.5,Neutral
Joe Burrow,QB,CIN,3947.9,34.2,8.7,161.7,1.5,0.0,0.2,0.0,False,,1.5,54.8,9.1,58.6,6.2,57.3,8.1,7.2,2.6,6.0,46.9,Neutral
Brock Purdy,QB,SF,3893.1,28.5,14.0,294.3,4.3,0.0,0.2,0.0,False,,1.5,70.0,4.5,68.2,9.6,75.7,9.8,16.6,4.0,8.0,26.0,Tough
Jahmyr Gibbs,RB,DET,0.1,0.0,0.0,1161.3,12.1,58.6,480.9,3.4,False,,1.5,1.6,0.8,1.5,0.7,1.8,0.8,2.1,0.8,6.0,58.3,Neutral
Jayden Daniels,QB,WAS,3095.5,20.6,7.5,624.8,5.2,0.0,0.2,0.0,False,,1.5,67.1,8.2,68.4,8.1,67.0,9.9,12.3,2.7,7.0,33.3,Tough
Bo Nix,QB,DEN,3629.4,24.4,10.1,351.1,3.9,0.7,2.8,0.2,False,,1.5,120.2,18.1,119.5,13.1,121.5,12.2,30.9,6.8,10.0,35.4,Neutral
Jeremiyah Love,RB,ARI,0.0,0.0,0.0,1235.4,11.9,57.2,419.4,2.7,True,0.0,1.5,29.5,5.1,28.2,4.1,26.2,3.8,47.7,5.8,14.0,68.8,Easy
Drake Maye,QB,NE,3483.1,24.1,8.7,371.5,3.2,0.5,2.0,0.1,False,,1.5,45.7,9.9,46.1,7.9,49.8,7.1,5.9,2.1,11.0,53.1,Neutral
Bijan Robinson,RB,ATL,0.1,0.0,0.0,1263.5,7.9,61.4,559.8,2.3,False,,1.5,2.3,0.7,2.1,0.7,1.8,0.8,2.6,0.6,11.0,62.5,Neutral
Puka Nacua,WR,LA,0.1,0.0,0.0,59.1,0.3,119.6,1559.2,8.0,False,,1.5,2.7,0.8,2.8,0.6,2.9,0.7,5.7,2.4,11.0,56.2,Neutral
Tyler Shough,QB,NO,3746.4,18.6,9.2,302.9,5.5,0.1,0.3,0.0,False,,1.5,145.5,11.0,138.4,12.9,137.7,10.2,49.2,10.1,8.0,69.8,Easy
Trevor Lawrence,QB,JAX,3277.4,22.5,10.6,278.8,6.8,0.0,0.2,0.0,False,,1.5,88.9,11.7,87.6,11.9,89.6,12.2,16.2,4.4,7.0,66.7,Easy
De'Von Achane,RB,MIA,0.1,0.0,0.0,1099.3,6.5,74.7,550.0,4.1,False,,1.5,12.9,2.3,10.9,1.7,10.1,1.8,24.5,4.0,6.0,45.8,Neutral
Ja'Marr Chase,WR,CIN,0.1,0.0,0.0,15.8,0.1,119.4,1430.7,9.8,False,,1.5,5.1,1.6,4.1,0.9,3.9,1.0,9.4,4.3,6.0,70.3,Easy
Jared Goff,QB,DET,3812.8,28.6,7.9,86.7,0.5,0.2,0.9,0.1,False,,1.5,108.0,15.2,108.8,13.3,107.9,12.7,23.5,5.0,6.0,51.0,Neutral
Matthew Stafford,QB,LA,3620.3,30.4,6.7,50.9,0.4,0.0,0.1,0.0,False,,1.5,78.5,9.8,79.6,10.4,83.7,11.2,17.7,3.5,11.0,71.9,Easy
Jaxson Dart,QB,NYG,2830.5,18.7,6.6,414.6,7.3,0.1,0.2,0.0,False,,1.5,96.2,14.2,93.8,13.0,100.4,12.6,25.2,5.2,8.0,60.4,Neutral
Sam Darnold,QB,SEA,3916.6,26.5,11.7,169.3,0.6,0.0,0.1,0.0,False,,1.5,153.7,15.3,145.5,10.0,142.4,12.0,51.7,9.6,11.0,32.3,Tough
Lamar Jackson,QB,BAL,2876.4,24.5,7.1,435.9,2.6,0.0,0.1,0.0,False,,1.5,49.5,8.5,49.2,9.6,52.6,7.5,5.9,2.1,13.0,57.3,Neutral
Jonathan Taylor,RB,IND,0.1,0.0,0.0,1263.4,12.9,32.7,256.7,1.0,False,,1.5,4.3,0.9,5.8,1.3,7.4,1.7,6.5,1.6,13.0,68.8,Easy
Patrick Mahomes,QB,KC,3303.4,20.9,10.5,310.6,3.2,0.7,2.4,0.2,False,,1.5,95.2,13.9,98.5,12.2,97.4,12.7,18.9,5.4,5.0,33.3,Tough
Amon-Ra St. Brown,WR,DET,1.8,0.2,0.0,13.5,0.1,107.2,1259.2,10.4,False,,1.5,8.7,1.6,7.8,1.6,7.0,1.4,18.3,4.7,6.0,53.1,Neutral
Daniel Jones,QB,IND,3246.6,18.8,9.7,247.2,5.6,0.0,0.2,0.0,False,,1.5,142.1,21.4,148.7,9.8,143.9,13.4,68.5,13.0,13.0,58.3,Neutral
Caleb Williams,QB,CHI,3177.1,20.7,6.5,318.4,2.0,0.8,4.1,0.2,False,,1.5,106.2,15.7,108.0,16.1,107.5,14.5,23.4,5.8,10.0,40.6,Neutral
C.J. Stroud,QB,HOU,3566.4,21.5,9.5,241.9,1.3,0.2,1.1,0.1,False,,1.5,167.6,15.8,172.8,9.6,162.5,12.5,65.9,10.9,8.0,38.5,Neutral
Dak Prescott,QB,DAL,3500.0,22.5,8.7,157.4,2.1,0.0,0.1,0.0,False,,1.5,62.0,6.8,67.6,6.1,65.4,8.6,10.9,3.1,14.0,54.2,Neutral
Baker Mayfield,QB,TB,3208.9,24.4,10.3,273.7,1.2,0.0,0.1,0.0,False,,1.5,136.1,10.2,132.4,10.3,128.6,10.3,37.4,7.4,10.0,40.6,Neutral
James Cook,RB,BUF,0.1,0.0,0.0,1241.1,11.1,29.9,244.0,1.3,False,,1.5,9.5,2.1,12.1,2.7,14.9,3.1,19.2,4.3,7.0,44.8,Neutral
Jaxon Smith-Njigba,WR,SEA,8.3,0.0,0.0,28.0,0.1,98.6,1367.7,7.6,False,,1.5,5.5,1.1,5.3,1.2,5.7,1.2,13.1,5.1,11.0,38.0,Neutral
Justin Herbert,QB,LAC,3062.8,20.3,9.4,334.4,2.3,0.0,0.1,0.0,False,,1.5,100.0,16.2,104.0,13.5,104.2,13.6,23.1,6.1,7.0,60.4,Neutral
Jordan Love,QB,GB,3296.6,22.8,8.0,181.9,1.0,0.0,0.1,0.0,False,,1.5,155.4,14.0,150.8,17.1,150.5,14.6,53.0,11.8,11.0,56.2,Neutral
Bryce Young,QB,CAR,2978.4,21.3,10.2,234.5,3.0,0.0,0.1,0.0,False,,1.5,,,,,174.2,12.0,88.4,7.6,5.0,59.4,Neutral
Kyren Williams,RB,LA,0.1,0.0,0.0,1119.5,9.9,33.1,237.0,2.1,False,,1.5,25.9,4.1,32.0,3.8,33.1,3.9,43.5,4.3,11.0,50.0,Neutral
Kyler Murray,QB,MIN,2827.6,16.7,9.3,375.4,2.9,0.0,0.2,0.0,False,,1.5,153.3,13.6,147.3,18.5,146.6,14.8,56.3,11.1,6.0,84.4,Easy
Spencer Rattler,QB,NO,3195.7,16.2,9.5,287.7,0.6,1.9,7.4,0.4,False,,1.5,,,,,,,,,,69.8,Easy
Chase Brown,RB,CIN,0.1,0.0,0.0,884.6,5.7,54.7,361.2,3.4,False,,1.5,19.0,3.7,16.3,2.6,12.1,2.4,36.8,6.5,6.0,58.3,Neutral
Justin Fields,QB,KC,2101.3,11.9,3.4,466.9,5.4,0.8,3.0,0.2,False,,1.5,,,,,,,,,,33.3,Tough
Mac Jones,QB,SF,3114.1,18.4,9.4,181.4,1.2,0.0,0.2,0.0,False,,1.5,,,,,,,,,,26.0,Tough
Michael Penix Jr.,QB,ATL,3089.0,15.6,6.9,156.3,2.5,0.1,0.3,0.0,False,,1.5,,,,,,,142.5,16.6,11.0,71.9,Easy
George Pickens,WR,DAL,0.1,0.0,0.0,4.8,0.0,78.8,1173.7,7.6,False,,1.5,17.9,3.5,19.6,2.2,21.1,2.5,33.7,5.8,14.0,61.5,Neutral
Rashee Rice,WR,KC,0.2,0.0,0.0,35.6,0.2,90.3,1022.8,8.4,False,,1.5,13.3,1.7,12.2,1.4,11.5,1.9,38.1,13.1,5.0,43.8,Neutral
CeeDee Lamb,WR,DAL,0.1,0.0,0.0,26.3,0.1,90.3,1198.8,5.4,False,,1.5,14.4,2.5,12.4,2.4,11.2,2.1,27.8,5.3,14.0,61.5,Neutral
Jacoby Brissett,QB,ARI,2889.6,18.6,7.3,154.2,1.5,0.0,0.2,0.0,False,,1.5,,,,,167.4,17.2,106.7,14.9,14.0,59.4,Neutral
Cam Ward,QB,TEN,3016.5,15.7,7.1,171.8,1.9,0.1,0.2,0.0,False,,1.5,,,179.9,22.9,175.6,16.6,93.7,11.4,9.0,64.6,Neutral
Tua Tagovailoa,QB,ATL,3111.1,22.1,13.8,106.4,0.2,0.0,0.2,0.0,False,,1.5,,,,,,,135.1,20.8,11.0,71.9,Easy
Kenneth Walker III,RB,KC,0.1,0.0,0.0,1063.0,7.1,34.1,266.4,0.7,False,,1.5,28.7,5.1,26.9,4.3,26.2,3.7,43.9,6.6,5.0,32.3,Tough
Javonte Williams,RB,DAL,0.1,0.0,0.0,929.2,8.5,38.7,219.0,1.9,False,,1.5,30.7,3.6,35.8,4.0,35.8,4.3,49.1,4.6,14.0,43.8,Neutral
Aaron Rodgers,QB,PIT,2910.0,20.7,7.0,51.5,0.7,0.2,0.9,0.1,False,,1.5,,,,,168.1,23.3,113.3,15.8,9.0,58.3,Neutral
A.J. Brown,WR,NE,0.1,0.0,0.0,2.7,0.0,81.5,1100.4,7.1,False,,1.5,19.0,2.9,19.2,2.6,17.8,2.8,34.2,4.8,11.0,33.9,Tough
Marcus Mariota,QB,WAS,2460.6,15.7,8.2,315.0,2.8,0.1,0.2,0.0,False,,1.5,,,,,,,,,,33.3,Tough
Drake London,WR,ATL,0.1,0.0,0.0,3.6,0.0,80.4,1052.1,7.7,False,,1.5,11.1,2.5,9.5,1.6,10.2,1.5,24.6,4.4,11.0,59.4,Neutral
Malik Willis,QB,MIA,2136.3,13.9,3.5,331.3,4.0,0.1,0.3,0.0,False,,1.5,156.7,19.7,155.4,14.8,160.4,14.0,74.4,8.0,6.0,19.8,Tough
Tee Higgins,WR,CIN,0.1,0.0,0.0,2.7,0.0,70.0,940.4,10.3,False,,1.5,34.3,4.2,38.1,4.0,38.6,4.3,50.3,6.3,6.0,70.3,Easy
Trey McBride,TE,ARI,0.1,0.0,0.0,1.1,0.0,98.5,977.5,7.2,False,,1.5,57.9,13.4,45.0,8.9,35.7,5.9,67.0,13.7,14.0,43.8,Neutral
Jameis Winston,QB,NYG,2917.6,16.1,11.9,155.0,1.9,1.2,6.7,0.3,False,,1.5,,,,,,,,,,60.4,Neutral
Josh Jacobs,RB,GB,0.1,0.0,0.0,818.2,10.3,29.8,238.5,0.8,False,,1.5,14.0,3.0,22.0,2.5,24.2,2.7,31.8,4.7,11.0,52.1,Neutral
Davis Mills,QB,HOU,2619.9,15.0,4.7,186.0,2.0,0.1,0.3,0.0,False,,1.5,,,,,,,,,,38.5,Neutral
Malik Nabers,WR,NYG,0.1,0.0,0.0,14.0,0.1,83.7,1019.9,6.7,False,,1.5,32.0,5.5,31.5,4.3,31.9,4.3,57.6,12.3,8.0,75.0,Easy
Joe Flacco,QB,CIN,2943.5,18.5,10.3,60.4,1.4,0.0,0.1,0.0,False,,1.5,,,,,,,,,,46.9,Neutral
Will Levis,QB,TEN,2803.9,17.7,12.9,245.9,0.6,0.1,0.3,0.0,False,,1.5,,,,,,,,,,64.6,Neutral
Nico Collins,WR,HOU,0.1,0.0,0.0,8.8,0.1,71.0,1058.9,6.6,False,,1.5,22.5,2.1,23.6,2.7,23.8,2.6,38.8,3.8,8.0,41.7,Neutral
Zay Flowers,WR,BAL,0.1,0.0,0.0,46.0,0.3,78.8,1093.1,4.4,False,,1.5,25.0,3.0,25.5,2.3,26.4,2.9,42.6,3.9,13.0,39.6,Neutral
Bucky Irving,RB,TB,0.1,0.0,0.0,901.3,4.0,41.0,343.7,1.9,False,,1.5,45.6,5.7,45.4,4.9,43.0,4.6,65.0,6.7,10.0,39.6,Neutral
DeVonta Smith,WR,PHI,0.1,0.0,0.0,4.0,0.0,81.7,1043.6,5.5,False,,1.5,38.9,4.3,31.3,3.5,29.5,3.5,56.1,6.0,10.0,27.1,Tough
Chris Olave,WR,NO,0.1,0.0,0.6,7.3,0.0,83.2,983.5,6.5,False,,1.5,25.9,2.4,23.1,2.3,20.4,2.5,42.0,6.7,8.0,60.4,Neutral
Christian McCaffrey,RB,SF,0.1,0.0,0.0,615.6,5.2,48.6,422.1,3.2,False,,1.5,6.6,2.0,6.6,1.6,5.8,1.4,11.9,3.2,8.0,35.4,Neutral
Jameson Williams,WR,DET,0.1,0.0,0.0,34.1,0.2,64.0,1042.9,6.2,False,,1.5,39.7,3.7,41.5,3.2,45.8,4.3,58.0,6.0,6.0,53.1,Neutral
Cam Skattebo,RB,NYG,0.2,0.0,0.0,704.8,8.0,39.7,311.2,1.4,False,,1.5,34.2,4.0,33.5,4.0,30.8,3.6,52.9,5.5,8.0,55.2,Neutral
Omarion Hampton,RB,LAC,0.2,0.0,0.0,807.7,6.5,42.3,282.1,1.1,False,,1.5,21.6,4.5,21.9,4.1,19.6,3.7,37.1,6.4,7.0,56.2,Neutral
Dillon Gabriel,QB,CLE,2307.0,16.0,6.3,176.8,1.5,0.1,0.4,0.0,False,,1.5,,,,,,,,,,63.5,Neutral
Aidan O'Connell,QB,LV,2573.5,13.5,6.6,150.2,1.7,0.1,0.3,0.0,False,,1.5,,,,,,,,,,58.3,Neutral
Tanner McKee,QB,PHI,2300.1,15.0,5.9,179.4,1.8,0.1,0.4,0.0,False,,1.5,,,,,,,,,,29.2,Tough
D'Andre Swift,RB,CHI,0.1,0.0,0.0,848.6,6.6,30.6,258.1,0.4,False,,1.5,42.5,4.1,42.4,4.4,43.9,4.4,61.6,5.7,10.0,50.0,Neutral
TreVeyon Henderson,RB,NE,0.1,0.0,0.0,801.1,7.1,31.7,215.3,1.3,False,,1.5,55.5,7.4,57.2,6.3,55.4,5.5,74.4,7.0,11.0,40.6,Neutral
Jadarian Price,RB,SEA,0.0,0.0,0.0,894.4,6.0,34.2,198.6,0.9,True,9.0,1.5,53.2,7.5,59.1,7.2,63.0,7.7,73.6,6.7,11.0,59.4,Neutral
Fernando Mendoza,QB,LV,2626.3,12.6,10.0,196.7,2.1,0.0,0.0,0.0,True,6.0,1.5,,,,,164.6,21.1,128.8,18.5,13.0,58.3,Neutral
Justin Jefferson,WR,MIN,4.9,0.0,0.0,8.4,0.0,75.5,994.5,4.9,False,,1.5,19.1,3.1,15.4,2.5,14.6,3.0,31.6,6.4,6.0,77.1,Easy
J.J. McCarthy,QB,MIN,2358.8,15.7,15.0,213.8,3.1,0.1,0.3,0.0,False,,1.5,,,,,,,,,,84.4,Easy
Zach Charbonnet,RB,SEA,0.1,0.0,0.0,700.3,10.6,24.4,183.2,0.5,False,,1.5,134.9,15.1,134.8,22.6,139.8,18.5,136.9,22.6,11.0,59.4,Neutral
Breece Hall,RB,NYJ,2.1,0.6,0.0,855.1,3.5,36.3,314.7,1.4,False,,1.5,27.1,4.1,26.1,3.2,27.0,3.2,46.4,4.3,13.0,46.9,Neutral
Brian Thomas Jr.,WR,JAX,0.1,0.0,0.0,22.4,0.1,67.5,964.9,5.6,False,,1.5,67.8,6.4,69.4,6.8,81.1,8.3,89.9,6.5,7.0,62.5,Neutral
Deshaun Watson,QB,CLE,2311.0,12.6,7.0,231.2,2.4,0.1,0.4,0.0,False,,1.5,,,,,,,135.4,18.9,11.0,63.5,Neutral
Anthony Richardson,QB,IND,1955.4,10.3,10.6,339.9,4.8,1.8,7.4,0.4,False,,1.5,,,,,,,,,,58.3,Neutral
Quentin Johnston,WR,LAC,0.1,0.0,0.0,13.7,0.1,61.0,830.1,7.9,False,,1.5,73.0,6.4,80.7,7.1,95.6,8.4,97.1,10.2,7.0,47.4,Neutral
Terry McLaurin,WR,WAS,0.1,0.0,0.0,4.8,0.0,63.3,884.4,7.0,False,,1.5,44.4,3.3,42.4,3.5,43.0,4.3,63.2,6.4,7.0,42.7,Neutral
DK Metcalf,WR,PIT,0.1,0.0,0.0,7.8,0.1,65.0,921.7,6.0,False,,1.5,62.7,7.5,63.1,6.8,65.9,7.2,81.8,7.9,9.0,72.4,Easy
Geno Smith,QB,NYJ,2671.1,15.6,13.2,122.5,0.8,0.0,0.1,0.0,False,,1.5,,,,,,,106.7,8.1,13.0,33.3,Tough
Alec Pierce,WR,IND,0.1,0.0,0.0,2.5,0.0,49.4,958.6,6.4,False,,1.5,44.7,5.4,47.8,5.1,55.3,6.5,70.9,8.3,13.0,44.8,Neutral
Shedeur Sanders,QB,CLE,2553.0,14.5,14.5,208.6,1.1,0.1,0.3,0.0,False,,1.5,,,,,,,139.9,17.4,11.0,63.5,Neutral
Rico Dowdle,RB,PIT,0.1,0.0,0.0,847.6,3.8,35.0,253.6,1.3,False,,1.5,67.0,4.3,64.2,5.9,64.8,7.7,90.7,10.2,9.0,64.6,Neutral
Ladd McConkey,WR,LAC,0.1,0.0,0.0,2.3,0.0,69.2,872.8,6.0,False,,1.5,48.2,6.6,45.7,5.0,44.3,4.9,68.2,7.5,7.0,47.4,Neutral
Saquon Barkley,RB,PHI,0.1,0.0,0.0,858.1,5.5,24.9,187.8,1.3,False,,1.5,14.3,3.1,18.2,3.2,19.0,3.3,26.9,4.5,10.0,33.3,Tough
Ashton Jeanty,RB,LV,0.1,0.0,0.0,750.2,3.9,40.4,269.7,2.0,False,,1.5,16.3,3.4,14.3,2.8,13.8,2.9,29.7,5.7,13.0,51.0,Neutral
